2026-06-09 07:59:36,770 [INFO] --- STARTING SMOKE TEST ---
2026-06-09 07:59:37,605 [INFO] Smoke Test Passed in 0.84s. Architecture and memory bounds verified.
2026-06-09 07:59:37,606 [INFO] --- LAUNCHING latent-dimension K-scaling stress test ---
2026-06-09 07:59:37,606 [INFO] Total isolated tasks queued: 100
2026-06-09 07:59:37,606 [INFO] Active Python processes: 4; PyTorch threads per worker: 8
2026-06-09 07:59:37,606 [INFO] ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2026-06-09 07:59:37,608 [INFO] Worker recycling enabled: max_tasks_per_child=1
2026-06-09 08:36:05,698 [INFO] [Worker 32] Spawned: Latent K=4 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:36:07,243 [INFO] [Progress 30/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Diagonal in 247.4s
2026-06-09 08:36:08,882 [INFO] [Worker 33] Spawned: Latent K=4 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:36:20,418 [INFO] [Progress 31/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Exact in 288.9s
2026-06-09 08:36:22,084 [INFO] [Worker 34] Spawned: Latent K=4 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:36:30,840 [INFO] [Progress 32/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Exact in 289.6s
2026-06-09 08:36:32,472 [INFO] [Worker 35] Spawned: Latent K=4 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:40:14,078 [INFO] [Progress 33/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Diagonal in 248.3s
2026-06-09 08:40:15,636 [INFO] [Progress 34/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Diagonal in 246.7s
2026-06-09 08:40:15,718 [INFO] [Worker 36] Spawned: Latent K=4 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:40:17,266 [INFO] [Worker 37] Spawned: Latent K=4 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:40:32,941 [INFO] [Progress 35/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Diagonal in 250.8s
2026-06-09 08:40:34,583 [INFO] [Worker 38] Spawned: Latent K=4 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:40:39,513 [INFO] [Progress 36/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Diagonal in 247.0s
2026-06-09 08:40:41,164 [INFO] [Worker 39] Spawned: Latent K=4 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:44:29,247 [INFO] [Progress 37/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Diagonal in 253.5s
2026-06-09 08:44:30,366 [INFO] [Progress 38/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Diagonal in 253.0s
2026-06-09 08:44:30,951 [INFO] [Worker 40] Spawned: Latent K=8 (D=512, N=90, J=5-7) | exact
2026-06-09 08:44:32,010 [INFO] [Worker 41] Spawned: Latent K=8 (D=512, N=90, J=5-7) | exact
2026-06-09 08:44:44,691 [INFO] [Progress 39/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Diagonal in 250.0s
2026-06-09 08:44:46,330 [INFO] [Worker 42] Spawned: Latent K=8 (D=512, N=90, J=5-7) | exact
2026-06-09 08:44:49,886 [INFO] [Progress 40/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Diagonal in 248.6s
2026-06-09 08:44:51,529 [INFO] [Worker 43] Spawned: Latent K=8 (D=512, N=90, J=5-7) | exact
2026-06-09 08:47:36,139 [INFO] [Progress 41/100] Finished Latent K=8 (D=512, N=90, J=5-7) | Exact in 184.1s
2026-06-09 08:47:37,374 [INFO] [Progress 42/100] Finished Latent K=8 (D=512, N=90, J=5-7) | Exact in 186.3s
2026-06-09 08:47:37,781 [INFO] [Worker 44] Spawned: Latent K=8 (D=512, N=90, J=5-7) | exact
2026-06-09 08:47:39,019 [INFO] [Worker 45] Spawned: Latent K=8 (D=512, N=90, J=5-7) | exact
2026-06-09 08:47:53,818 [INFO] [Progress 43/100] Finished Latent K=8 (D=512, N=90, J=5-7) | Exact in 187.4s
2026-06-09 08:47:55,480 [INFO] [Worker 46] Spawned: Latent K=8 (D=512, N=90, J=5-7) | exact
2026-06-09 08:47:58,661 [INFO] [Progress 44/100] Finished Latent K=8 (D=512, N=90, J=5-7) | Exact in 187.1s
2026-06-09 08:48:00,315 [INFO] [Worker 47] Spawned: Latent K=8 (D=512, N=90, J=5-7) | exact
2026-06-09 08:50:45,362 [INFO] [Progress 45/100] Finished Latent K=8 (D=512, N=90, J=5-7) | Exact in 186.3s
2026-06-09 08:50:47,004 [INFO] [Worker 48] Spawned: Latent K=8 (D=512, N=90, J=5-7) | exact
2026-06-09 08:50:48,674 [INFO] [Progress 46/100] Finished Latent K=8 (D=512, N=90, J=5-7) | Exact in 190.8s
2026-06-09 08:50:50,326 [INFO] [Worker 49] Spawned: Latent K=8 (D=512, N=90, J=5-7) | exact
2026-06-09 08:51:00,705 [INFO] [Progress 47/100] Finished Latent K=8 (D=512, N=90, J=5-7) | Exact in 185.2s
2026-06-09 08:51:02,344 [INFO] [Worker 50] Spawned: Latent K=8 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:51:10,511 [INFO] [Progress 48/100] Finished Latent K=8 (D=512, N=90, J=5-7) | Exact in 190.1s
2026-06-09 08:51:12,167 [INFO] [Worker 51] Spawned: Latent K=8 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:53:16,149 [INFO] [Progress 49/100] Finished Latent K=8 (D=512, N=90, J=5-7) | Diagonal in 133.7s
2026-06-09 08:53:17,779 [INFO] [Worker 52] Spawned: Latent K=8 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:53:26,241 [INFO] [Progress 50/100] Finished Latent K=8 (D=512, N=90, J=5-7) | Diagonal in 134.0s
2026-06-09 08:53:27,881 [INFO] [Worker 53] Spawned: Latent K=8 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:53:55,608 [INFO] [Progress 51/100] Finished Latent K=8 (D=512, N=90, J=5-7) | Exact in 188.5s
2026-06-09 08:53:57,255 [INFO] [Worker 54] Spawned: Latent K=8 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:54:00,884 [INFO] [Progress 52/100] Finished Latent K=8 (D=512, N=90, J=5-7) | Exact in 190.5s
2026-06-09 08:54:02,533 [INFO] [Worker 55] Spawned: Latent K=8 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:55:31,157 [INFO] [Progress 53/100] Finished Latent K=8 (D=512, N=90, J=5-7) | Diagonal in 133.3s
2026-06-09 08:55:32,813 [INFO] [Worker 56] Spawned: Latent K=8 (D=512, N=90, J=5-7) | diagonal
