Item,Parameter,SM_Est,SM_SE,SM_Z,Stan_Est,Stan_SE,Stan_Z,Stan_Pr_Pos_Approx,Stan_Pr_Neg_Approx,Stan_Pr_Direction_Approx,Z_Diff,Z_Diff_Abs,Same_Sign,SM_Sig_Approx,Stan_Sig_Approx,Sig_Agree_Approx
Q2_Salivation,Bulbar_Onset,-0.9585697291709481,0.0774469467590229,-12.377114518840223,-2.23564,0.410469387755102,-5.446545020633422,2.5678804282960146e-08,0.9999999743211957,0.9999999743211957,-6.930569498206801,6.930569498206801,True,True,True,True
Q2_Salivation,FVC_Base,0.09574383927835237,0.031070842856299078,3.0814690068487134,0.325369,0.1858219387755102,1.7509719365971923,0.9600246279321409,0.03997537206785902,0.9600246279321409,1.330497070251521,1.330497070251521,True,True,False,False
Q2_Salivation,BMI_Base,-0.03465845230890372,0.03993916413731599,-0.8677811130384075,-0.26046,0.246140306122449,-1.058176956481184,0.14498738740730638,0.8550126125926936,0.8550126125926936,0.1903958434427765,0.1903958434427765,True,False,False,True
Q3_Swallowing,t_abs,-0.4802791715195074,0.031990791696120346,-15.01304425603674,-3.63463,0.2559081632653061,-14.20286853542805,4.39688848956733e-46,1.0,1.0,-0.8101757206086884,0.8101757206086884,True,True,True,True
Q3_Swallowing,Sex_Female,-0.14478917497899907,0.054321317008384634,-2.66542092410334,0.513348,0.4004604591836735,1.281894349935183,0.9000601448759167,0.09993985512408332,0.9000601448759167,-3.947315274038523,3.947315274038523,False,True,False,False
Q3_Swallowing,Treatment_Active,0.02444471708354251,0.057449207163205125,0.42550138271009563,-0.787113,0.4244772193877551,-1.8543115249748683,0.03184730211832521,0.9681526978816748,0.9681526978816748,2.279812907684964,2.279812907684964,False,False,False,True
Q3_Swallowing,Age_Base,-0.06834986572352827,0.026280832659194994,-2.6007496265387315,-0.393279,0.19704767857142858,-1.9958570578005503,0.02297474202202255,0.9770252579779775,0.9770252579779775,-0.6048925687381812,0.6048925687381812,True,True,True,True
Q3_Swallowing,Bulbar_Onset,-1.0267220714293939,0.07268473019268244,-14.1256914445114,-1.87513,0.42404336734693876,-4.42202412392841,4.8890267993394235e-06,0.9999951109732007,0.9999951109732007,-9.70366732058299,9.70366732058299,True,True,True,True
Q3_Swallowing,FVC_Base,0.19932134533832047,0.02929712820822452,6.803443119806037,0.715003,0.1939872448979592,3.685824809647173,0.9998860184336297,0.00011398156637027252,0.9998860184336297,3.1176183101588637,3.1176183101588637,True,True,True,True
Q3_Swallowing,BMI_Base,-0.06949766463666182,0.037662106359949,-1.8452941524950843,-0.543663,0.2573428826530612,-2.1126016557953284,0.017317438443768922,0.9826825615562311,0.9826825615562311,0.2673075033002441,0.2673075033002441,True,False,True,False
