Run_ID,Parameter,Estimate,2.5%,97.5%,R_hat,ESS,MCSE,ESS_sec,Time_s,Divergences,Max_Treedepths,E_BFMI,Std
1,"alpha_dyn[2,2]",0.0804068,0.00225609,0.159434,1.0023,2115.16,0.000878654,0.0127489158303031,165909.00968790054,0,0,0.6698218029303634,0.0404100607106153
1,"alpha_dyn[2,3]",0.173072,0.0810876,0.27106,1.00097,2193.22,0.00103906,0.013219414690774,165909.00968790054,0,0,0.6698218029303634,0.04866107793899753
1,"alpha_dyn[3,1]",-1.03406,-1.21296,-0.845942,1.0036,2019.85,0.00210273,0.0121744443161925,165909.00968790054,0,0,0.6698218029303634,0.09450245051764565
1,"alpha_dyn[3,2]",0.117605,0.0403819,0.191352,1.00153,2314.59,0.000806462,0.0139509602543833,165909.00968790054,0,0,0.6698218029303634,0.038799036847456767
1,"alpha_dyn[3,3]",0.0850102,-0.00275131,0.174691,1.00073,2518.47,0.000902468,0.0151798266094024,165909.00968790054,0,0,0.6698218029303634,0.04528977910289708
1,"beta[1,1]",2.18742,0.753954,3.6501,1.00088,772.242,0.0263117,0.0046546115937446,165909.00968790054,0,0,0.6698218029303634,0.7311822124914196
1,"beta[1,2]",-0.483093,-1.88399,0.84675,1.00254,557.321,0.0297974,0.0033591967129958,165909.00968790054,0,0,0.6698218029303634,0.7034465026889608
1,"beta[1,3]",-0.0444548,-0.722588,0.594384,1.0019,639.447,0.0136181,0.0038542029827246,165909.00968790054,0,0,0.6698218029303634,0.3443648343781224
1,"beta[2,1]",1.21478,0.504695,1.9779,1.00231,723.623,0.0146356,0.0043615654228859,165909.00968790054,0,0,0.6698218029303634,0.3937011764673879
1,"beta[2,2]",0.379895,-0.324196,1.07306,1.00066,640.287,0.014313,0.0038592659989018,165909.00968790054,0,0,0.6698218029303634,0.36217462023877794
1,"beta[2,3]",-0.361402,-0.716206,-0.0191684,1.0016,661.213,0.00709137,0.0039853953757173,165909.00968790054,0,0,0.6698218029303634,0.18234792997672464
1,"beta[3,1]",0.928712,0.0750883,1.8465,1.00229,719.71,0.017534,0.0043379802058603,165909.00968790054,0,0,0.6698218029303634,0.4703918306951769
1,"beta[3,2]",-0.236963,-1.0998,0.575701,1.00171,608.826,0.0175382,0.0036696379608635,165909.00968790054,0,0,0.6698218029303634,0.4327445566211692
1,"beta[3,3]",-0.298584,-0.703887,0.108812,1.00318,746.82,0.00770127,0.0045013830255805,165909.00968790054,0,0,0.6698218029303634,0.2104603651762155
1,"beta[4,1]",-0.100697,-1.02493,0.834996,1.00155,667.271,0.018815,0.0040219093661955,165909.00968790054,0,0,0.6698218029303634,0.48602135058037826
1,"beta[4,2]",1.30538,0.335146,2.26719,1.00282,468.334,0.0227323,0.0028228364504194,165909.00968790054,0,0,0.6698218029303634,0.4919502920137957
1,"beta[4,3]",1.09121,0.61598,1.56897,1.00561,500.745,0.0109245,0.0030181905186582,165909.00968790054,0,0,0.6698218029303634,0.24446116650029764
1,"beta[5,1]",0.223552,-0.941687,1.45628,1.0021,616.375,0.0247842,0.0037151388050564,165909.00968790054,0,0,0.6698218029303634,0.6153148731437059
1,"beta[5,2]",0.481641,-0.744519,1.67902,1.00277,429.024,0.030327,0.0025858993481249,165909.00968790054,0,0,0.6698218029303634,0.6281599525497434
1,"beta[5,3]",1.47424,0.865784,2.0913,1.01064,451.211,0.0149704,0.0027196292766064,165909.00968790054,0,0,0.6698218029303634,0.3179971618820359
1,"beta[6,1]",0.170172,-0.786468,1.12445,1.0024,637.745,0.0196439,0.0038439443475655,165909.00968790054,0,0,0.6698218029303634,0.4960794602522276
1,"beta[6,2]",0.205356,-0.807908,1.13104,1.00463,491.925,0.0223463,0.0029650288487972,165909.00968790054,0,0,0.6698218029303634,0.4956271310886877
1,"beta[6,3]",0.840421,0.365255,1.33595,1.00781,518.596,0.0107658,0.0031257856398248,165909.00968790054,0,0,0.6698218029303634,0.24516636550209217
1,"beta[7,1]",0.543118,-0.353114,1.48772,1.00249,710.328,0.0180234,0.0042814311370806,165909.00968790054,0,0,0.6698218029303634,0.48035928351016555
1,"beta[7,2]",-0.52714,-1.54911,0.464437,1.00342,445.069,0.0234848,0.0026826089845104,165909.00968790054,0,0,0.6698218029303634,0.4954508056155947
1,"beta[7,3]",0.494834,0.0402608,0.967854,1.00269,468.077,0.0112142,0.0028212874085652,165909.00968790054,0,0,0.6698218029303634,0.24262019535728324
1,"beta[8,1]",0.836809,-0.513852,2.20882,1.00418,657.592,0.0270782,0.0039635701595532,165909.00968790054,0,0,0.6698218029303634,0.6943813569145575
1,"beta[8,2]",-2.25319,-3.77986,-0.840136,1.00303,499.871,0.0329871,0.0030129225708738,165909.00968790054,0,0,0.6698218029303634,0.7375188214643291
1,"beta[8,3]",0.64727,-0.0474805,1.36436,1.00602,433.247,0.0173827,0.002611353059216,165909.00968790054,0,0,0.6698218029303634,0.36181370809107644
1,"beta[9,1]",0.622796,-0.514321,1.75652,1.00261,628.014,0.0227945,0.0037852917161122,165909.00968790054,0,0,0.6698218029303634,0.5712348998846477
1,"beta[9,2]",-2.39816,-3.64206,-1.20371,1.00152,488.939,0.0277957,0.0029470310317671,165909.00968790054,0,0,0.6698218029303634,0.6146175479632534
1,"beta[9,3]",0.253785,-0.336044,0.857939,1.00691,419.833,0.0149375,0.0025305015127856,165909.00968790054,0,0,0.6698218029303634,0.30606678698881434
1,lambda[1],8.73762,7.90004,9.67479,1.00991,1062.89,0.0142982,0.006406463410272,165909.00968790054,0,0,0.6698218029303634,0.46614982780921804
1,lambda[2],4.11402,3.74692,4.5039,1.00512,1356.92,0.00522237,0.0081786998943129,165909.00968790054,0,0,0.6698218029303634,0.1923732843974442
1,lambda[3],5.12816,4.64158,5.65749,1.0027,1356.49,0.00707476,0.0081761081122222,165909.00968790054,0,0,0.6698218029303634,0.26056735826719324
1,lambda[4],5.88976,5.38746,6.46094,1.00016,1162.1,0.00806069,0.0070044417852055,165909.00968790054,0,0,0.6698218029303634,0.2747855999122876
1,lambda[5],8.24364,7.52628,9.03061,1.00475,868.252,0.0128775,0.0052333022880029,165909.00968790054,0,0,0.6698218029303634,0.3794499105106957
1,lambda[6],5.9336,5.43224,6.48026,1.00175,1045.85,0.00830129,0.0063037565106765,165909.00968790054,0,0,0.6698218029303634,0.2684604329734625
1,lambda[7],5.40178,4.93717,5.88839,1.00126,1073.56,0.00740792,0.0064707757705234,165909.00968790054,0,0,0.6698218029303634,0.24272216905242502
1,lambda[8],9.39887,8.49404,10.3815,1.00389,979.031,0.0153688,0.0059010116559775,165909.00968790054,0,0,0.6698218029303634,0.4808816230198204
1,lambda[9],8.19587,7.48173,8.94266,1.00115,1202.52,0.010877,0.0072480693017342,165909.00968790054,0,0,0.6698218029303634,0.37718575503998025
1,sigma_bk[1],2.89062,2.37578,3.41148,1.0047,549.407,0.0112791,0.003311495867726,165909.00968790054,0,0,0.6698218029303634,0.2643757040919072
1,sigma_bk[2],2.1013,1.86005,2.34875,1.00553,1108.74,0.00376243,0.0066828197099464,165909.00968790054,0,0,0.6698218029303634,0.1252804447719708
1,sigma_bk[3],2.08861,1.78267,2.41413,1.00249,700.983,0.0060247,0.0042251050821088,165909.00968790054,0,0,0.6698218029303634,0.1595104605470076
1,sigma_bk[4],2.83984,2.55469,3.13731,1.00234,1225.99,0.00420108,0.0073895323846864,165909.00968790054,0,0,0.6698218029303634,0.14709720327482348
1,sigma_bk[5],2.0082,1.49198,2.47097,1.01754,210.578,0.0173265,0.0012692378816323,165909.00968790054,0,0,0.6698218029303634,0.2514301423190953
1,sigma_bk[6],3.05078,2.76433,3.3354,1.00287,887.493,0.00492934,0.0053492754954628,165909.00968790054,0,0,0.6698218029303634,0.14684908427649507
1,sigma_bk[7],3.58154,3.28204,3.91044,1.00266,1230.62,0.00450141,0.0074174392476633,165909.00968790054,0,0,0.6698218029303634,0.15791033536281157
1,sigma_bk[8],2.87716,2.49901,3.26482,1.00204,750.688,0.00701298,0.0045246970095967,165909.00968790054,0,0,0.6698218029303634,0.1921464376447675
