Item,Covariate,Model,Z_Score,SE,Est
Q5_Cutting,Treatment_Active,5. LPMM Approximation,-2.0126742315440347,0.06968096918327767,-0.14024509110419695
Q5_Cutting,Age_Base,5. LPMM Approximation,11.50215606442292,0.03222319726164583,0.37063624379813565
Q5_Cutting,Bulbar_Onset,5. LPMM Approximation,-4.011339997304761,0.00018222237736932565,-0.0007309559107455379
Q5_Cutting,FVC_Base,5. LPMM Approximation,10.266159181034483,7.412734134232993e-05,0.0007610030858872374
Q5_Cutting,BMI_Base,5. LPMM Approximation,-1.9062732718651383,9.431457420798157e-05,-0.0001797893519600164
Q6_Dressing_and_Hygiene,Sex_Female,1. Naive LMM,-1.3658807614020358,0.08204146873215505,-0.11205886377841726
Q6_Dressing_and_Hygiene,Treatment_Active,1. Naive LMM,-0.7226889800967262,0.08469445768076622,-0.061207751241158286
Q6_Dressing_and_Hygiene,Age_Base,1. Naive LMM,2.720036020405622,0.03916703599266823,0.10653574871258105
Q6_Dressing_and_Hygiene,Bulbar_Onset,1. Naive LMM,1.3263350311039708,0.00027053833739744003,0.00035882447414685014
Q6_Dressing_and_Hygiene,FVC_Base,1. Naive LMM,3.0912598524653423,0.00010889749780407458,0.00033663046299566853
Q6_Dressing_and_Hygiene,BMI_Base,1. Naive LMM,-1.1549263278844368,0.00013310096759199325,-0.0001537218117388862
Q6_Dressing_and_Hygiene,Sex_Female,2. Ordinal / IRT,-3.327068224144201,0.06536409858937894,-0.21747081541655147
Q6_Dressing_and_Hygiene,Treatment_Active,2. Ordinal / IRT,-1.0862378412020082,0.06910672611445252,-0.07506634098710135
Q6_Dressing_and_Hygiene,Age_Base,2. Ordinal / IRT,6.254308639950743,0.03041915527056898,0.19025078562872275
Q6_Dressing_and_Hygiene,Bulbar_Onset,2. Ordinal / IRT,13.712019255799484,0.0004833894185826365,0.0066282450156548295
Q6_Dressing_and_Hygiene,FVC_Base,2. Ordinal / IRT,9.62459038636756,0.00019388859288268657,0.001866098287085039
Q6_Dressing_and_Hygiene,BMI_Base,2. Ordinal / IRT,-4.144994993757911,0.0002598568581306593,-0.0010771053760452425
Q6_Dressing_and_Hygiene,Sex_Female,3. Discrete AR(1),-1.531927512029346,0.02072967037051726,-0.03175635235589496
Q6_Dressing_and_Hygiene,Treatment_Active,3. Discrete AR(1),0.004105424503477666,0.02222787068183556,9.125484495734051e-05
Q6_Dressing_and_Hygiene,Age_Base,3. Discrete AR(1),1.620141856578748,0.009713326462502107,0.015736966768513647
Q6_Dressing_and_Hygiene,Bulbar_Onset,3. Discrete AR(1),3.444689664947782,0.00046872952301662754,0.0016146277435912803
Q6_Dressing_and_Hygiene,FVC_Base,3. Discrete AR(1),3.816251619698232,0.00021254425857381604,0.0008111223710398853
Q6_Dressing_and_Hygiene,BMI_Base,3. Discrete AR(1),0.20579818516874307,0.00037360333699400743,7.688688872635306e-05
Q6_Dressing_and_Hygiene,Sex_Female,5. LPMM Approximation,3.4289211214861197,0.0689783064137904,0.23652117178658735
Q6_Dressing_and_Hygiene,Treatment_Active,5. LPMM Approximation,-2.4120435692173725,0.07068722070408581,-0.1705006561251393
Q6_Dressing_and_Hygiene,Age_Base,5. LPMM Approximation,7.053810953451638,0.032081147225228576,0.22629434769661194
Q6_Dressing_and_Hygiene,Bulbar_Onset,5. LPMM Approximation,-4.011339997304761,0.00018222237736932565,-0.0007309559107455379
Q6_Dressing_and_Hygiene,FVC_Base,5. LPMM Approximation,10.266159181034483,7.412734134232993e-05,0.0007610030858872374
Q6_Dressing_and_Hygiene,BMI_Base,5. LPMM Approximation,-1.9062732718651383,9.431457420798157e-05,-0.0001797893519600164
Q7_Turning_in_Bed,Sex_Female,1. Naive LMM,-2.941003323828509,0.08394322505424727,-0.24687730389742582
Q7_Turning_in_Bed,Treatment_Active,1. Naive LMM,-0.5350361192564292,0.08666739728863074,-0.04637018791136417
Q7_Turning_in_Bed,Age_Base,1. Naive LMM,1.2881597272726262,0.04007301596050598,0.05162044531067698
Q7_Turning_in_Bed,Bulbar_Onset,1. Naive LMM,4.338537913853521,0.00028084421281806063,0.0012184532651975033
Q7_Turning_in_Bed,FVC_Base,1. Naive LMM,4.793573263912945,0.00011362776324557903,0.0005446830079322377
Q7_Turning_in_Bed,BMI_Base,1. Naive LMM,-0.763465075792203,0.00013940571865355764,-0.00010643139755770492
Q7_Turning_in_Bed,Sex_Female,2. Ordinal / IRT,-6.492058780015449,0.0653930984188594,-0.42453583874257056
Q7_Turning_in_Bed,Treatment_Active,2. Ordinal / IRT,-0.6482965041989703,0.06896224258405785,-0.044707980788966074
Q7_Turning_in_Bed,Age_Base,2. Ordinal / IRT,3.7852704251565337,0.030435937477570743,0.11520825399576189
Q7_Turning_in_Bed,Bulbar_Onset,2. Ordinal / IRT,11.796425553802145,0.00047900586849466704,0.0056505570675316795
Q7_Turning_in_Bed,FVC_Base,2. Ordinal / IRT,8.38121116661946,0.00019793571221551827,0.0016589410014934776
Q7_Turning_in_Bed,BMI_Base,2. Ordinal / IRT,-2.0169684843494453,0.00026242607104775184,-0.0005293051147749638
Q7_Turning_in_Bed,Sex_Female,3. Discrete AR(1),-1.4869773574045213,0.023216300660587958,-0.034522113404989924
Q7_Turning_in_Bed,Treatment_Active,3. Discrete AR(1),0.3719671321931409,0.02488014069782881,0.009254594583933235
Q7_Turning_in_Bed,Age_Base,3. Discrete AR(1),0.6221017827136288,0.011092459099812447,0.006900638580671337
Q7_Turning_in_Bed,Bulbar_Onset,3. Discrete AR(1),3.8090414663655445,0.0006096360562201911,0.0023221290175342644
Q7_Turning_in_Bed,FVC_Base,3. Discrete AR(1),3.469137898894078,0.00025401255021881557,0.0008812045647588284
Q7_Turning_in_Bed,BMI_Base,3. Discrete AR(1),-0.4197678040874416,0.00041852219276042714,-0.00017568214181690544
Q7_Turning_in_Bed,Sex_Female,5. LPMM Approximation,-1.8468717682740343,0.07020813878058595,-0.12966542941692957
Q7_Turning_in_Bed,Treatment_Active,5. LPMM Approximation,-1.9868585525596294,0.07302701984622534,-0.1450943589494146
Q7_Turning_in_Bed,Age_Base,5. LPMM Approximation,3.3949817165467135,0.03296364291768039,0.11191096501629949
Q7_Turning_in_Bed,Bulbar_Onset,5. LPMM Approximation,-4.011339997304761,0.00018222237736932565,-0.0007309559107455379
Q7_Turning_in_Bed,FVC_Base,5. LPMM Approximation,10.266159181034483,7.412734134232993e-05,0.0007610030858872374
Q7_Turning_in_Bed,BMI_Base,5. LPMM Approximation,-1.9062732718651383,9.431457420798157e-05,-0.0001797893519600164
Q8_Walking,Sex_Female,1. Naive LMM,-4.0434632328081,0.07756235270875651,-0.3136205214279507
Q8_Walking,Treatment_Active,1. Naive LMM,-0.4792595618406426,0.08002715308801199,-0.03835377832431466
Q8_Walking,Age_Base,1. Naive LMM,0.9230734670959263,0.03703486038493728,0.034185896978937626
Q8_Walking,Bulbar_Onset,1. Naive LMM,-0.6289452005486097,0.00022815382789920677,-0.00014349625504399957
Q8_Walking,FVC_Base,1. Naive LMM,3.5385103907370037,9.120989494252349e-05,0.00032274716099214986
Q8_Walking,BMI_Base,1. Naive LMM,-0.0592348243178804,0.0001110710750391238,-6.579275616740609e-06
Q8_Walking,Sex_Female,2. Ordinal / IRT,-9.856354331290456,0.06762707068166063,-0.6665563710256716
Q8_Walking,Treatment_Active,2. Ordinal / IRT,-0.19787746463173037,0.07071716219635374,-0.013993332761365326
Q8_Walking,Age_Base,2. Ordinal / IRT,1.59024073078119,0.031137461313307347,0.049516059233544914
Q8_Walking,Bulbar_Onset,2. Ordinal / IRT,14.78277332604396,0.0004845167032307418,0.007162500596542168
Q8_Walking,FVC_Base,2. Ordinal / IRT,6.2708406205678475,0.0002013053116290258,0.001262353525299364
Q8_Walking,BMI_Base,2. Ordinal / IRT,-2.5906107999428385,0.0002697881063283945,-0.0006989159819504657
Q8_Walking,Sex_Female,3. Discrete AR(1),-1.9379582341912251,0.017245542641017658,-0.03342114136425606
Q8_Walking,Treatment_Active,3. Discrete AR(1),-0.6850816484734881,0.019092652333491805,-0.013080025734359756
Q8_Walking,Age_Base,3. Discrete AR(1),-0.3242284038823251,0.00854621603097852,-0.0027709259829577053
Q8_Walking,Bulbar_Onset,3. Discrete AR(1),3.060082554454097,0.00045038698516407753,0.0013782213560537698
Q8_Walking,FVC_Base,3. Discrete AR(1),2.577288446333315,0.00019655686864157267,0.0005065837465973803
Q8_Walking,BMI_Base,3. Discrete AR(1),-0.4628440087344424,0.00031944245786520194,-0.00014785202775831327
Q8_Walking,Sex_Female,5. LPMM Approximation,-6.225073712641947,0.06923394614784156,-0.43098641818739675
Q8_Walking,Treatment_Active,5. LPMM Approximation,-0.7229180583203115,0.07052328432572703,-0.05098255577112585
Q8_Walking,Age_Base,5. LPMM Approximation,1.4820401428043743,0.03190346481187124,0.04728221554573999
Q8_Walking,Bulbar_Onset,5. LPMM Approximation,-4.011339997304761,0.00018222237736932565,-0.0007309559107455379
Q8_Walking,FVC_Base,5. LPMM Approximation,10.266159181034483,7.412734134232993e-05,0.0007610030858872374
Q8_Walking,BMI_Base,5. LPMM Approximation,-1.9062732718651383,9.431457420798157e-05,-0.0001797893519600164
Q9_Climbing_Stairs,Sex_Female,1. Naive LMM,-5.102846873122174,0.10538469694279881,-0.5377619712694889
Q9_Climbing_Stairs,Treatment_Active,1. Naive LMM,-0.7233946074335679,0.10875725696737795,-0.07867441320946804
Q9_Climbing_Stairs,Age_Base,1. Naive LMM,0.24116836278190948,0.050316080526890086,0.0121346467622728
Q9_Climbing_Stairs,Bulbar_Onset,1. Naive LMM,-1.9702844895738778,0.0003271786553756201,-0.0006446350300062213
Q9_Climbing_Stairs,FVC_Base,1. Naive LMM,2.95854547281128,0.0001306960403850337,0.00038667017859550165
Q9_Climbing_Stairs,BMI_Base,1. Naive LMM,-4.5211358037912595,0.00015945170170611467,-0.0007209027975589589
Q9_Climbing_Stairs,Sex_Female,2. Ordinal / IRT,-12.130211945778658,0.06627491609366659,-0.8039287789048727
Q9_Climbing_Stairs,Treatment_Active,2. Ordinal / IRT,-1.1803656871364014,0.0690510806097401,-0.08150552621142693
Q9_Climbing_Stairs,Age_Base,2. Ordinal / IRT,-0.33026998211699155,0.030576979759619857,-0.010098658558401263
Q9_Climbing_Stairs,Bulbar_Onset,2. Ordinal / IRT,14.126716541825784,0.0004702564266193944,0.006643179240824082
Q9_Climbing_Stairs,FVC_Base,2. Ordinal / IRT,7.589366986541622,0.00019618597878345682,0.0014889273906015222
Q9_Climbing_Stairs,BMI_Base,2. Ordinal / IRT,-4.649157635503729,0.00026023364147658405,-0.0012098672212858008
Q9_Climbing_Stairs,Sex_Female,3. Discrete AR(1),-3.926263218016499,0.017951872530346354,-0.07048377681041967
Q9_Climbing_Stairs,Treatment_Active,3. Discrete AR(1),-0.8992300857961144,0.025332345158709527,-0.02277960691048315
Q9_Climbing_Stairs,Age_Base,3. Discrete AR(1),-0.2896312706499186,0.011473506925930858,-0.003323086389767996
Q9_Climbing_Stairs,Bulbar_Onset,3. Discrete AR(1),5.5128898074449415,0.0004014131857901513,0.0022129466605165277
