Model,Level,Target,RMSE,MAE,Exact_Match_%,Weighted_Kappa
3. Discrete AR(1),Item,Q5_Cutting,0.5663778805430911,0.38121580726567733,72.78854254422914,0.7864714217080078
5. LPMM Approximation,Item,Q5_Cutting,0.9195528785159629,0.75116708322448,38.19151923616961,0.41994597149696866
1. Naive LMM,Item,Q6_Dressing_and_Hygiene,0.4287024229594518,0.31960322403000285,78.9946644201067,0.8171084243072939
2. Ordinal / IRT,Item,Q6_Dressing_and_Hygiene,1.0484851705640081,0.8449996975609585,37.292895254142095,0.11624701386571568
3. Discrete AR(1),Item,Q6_Dressing_and_Hygiene,0.5646538104645442,0.3886828358086319,71.0755405784892,0.7374877009114875
5. LPMM Approximation,Item,Q6_Dressing_and_Hygiene,0.7726934584390763,0.6223194038433575,47.1215950575681,0.45703100312333855
1. Naive LMM,Item,Q7_Turning_in_Bed,0.4483343684407031,0.32544628457091485,77.08508845829823,0.8035343917292335
2. Ordinal / IRT,Item,Q7_Turning_in_Bed,1.0909769441239423,0.8813599122669656,32.06964335860713,0.07219916232638535
3. Discrete AR(1),Item,Q7_Turning_in_Bed,0.5718063813846078,0.39161297660243516,71.35636057287279,0.7336860058018002
5. LPMM Approximation,Item,Q7_Turning_in_Bed,0.7777065405919235,0.6115115446008714,51.6147149677057,0.5110490810999002
1. Naive LMM,Item,Q8_Walking,0.35280534691021764,0.25199832022804847,86.68913226621736,0.8746163904844773
2. Ordinal / IRT,Item,Q8_Walking,0.9751200365327872,0.7833952294318396,40.69081718618366,0.15310879022192414
3. Discrete AR(1),Item,Q8_Walking,0.44049158706857733,0.26933178741279623,80.51109238977816,0.8113197002169925
5. LPMM Approximation,Item,Q8_Walking,0.8437696734914292,0.689088508021224,40.91547318169054,0.27937254910121134
1. Naive LMM,Item,Q9_Climbing_Stairs,0.5089622479890248,0.3515049618862023,76.88851446222971,0.8333977702397478
2. Ordinal / IRT,Item,Q9_Climbing_Stairs,1.3270293938934377,1.136606838577448,20.86492558270149,0.10955172820371728
3. Discrete AR(1),Item,Q9_Climbing_Stairs,0.6526511561549998,0.4159512234051867,71.77759056444819,0.7764758310197328
5. LPMM Approximation,Item,Q9_Climbing_Stairs,1.090758373038483,0.9030138765973117,30.918281381634372,0.34462894833135793
