Item,Covariate,Model,Estimate,SE,Z_Score
R_1_Dyspnea,Sex_Female,4. IRT + Latent OU,0.657162,0.33077875,1.9867116614957883
R_1_Dyspnea,Treatment_Active,4. IRT + Latent OU,0.468746,0.30918112244897955,1.5160886805996752
Q9_Climbing_Stairs,Sex_Female,1. Naive LMM,-0.49914767040640395,0.09691288648879215,-5.150477800123411
Q9_Climbing_Stairs,Treatment_Active,1. Naive LMM,0.027473635811432626,0.10242008958164156,0.2682445985319386
Q9_Climbing_Stairs,Age_Base,1. Naive LMM,0.01490857559395667,0.04692520822632339,0.31770931142279907
Q9_Climbing_Stairs,Sex_Female,2. Ordinal (IRT),-0.7024051862915482,0.05881908958528239,-11.94178949800173
Q9_Climbing_Stairs,Treatment_Active,2. Ordinal (IRT),-0.05393261700454677,0.06030494042731297,-0.8943316521397294
Q9_Climbing_Stairs,Age_Base,2. Ordinal (IRT),0.020303375159108225,0.027173553243541603,0.7471740989167021
Q9_Climbing_Stairs,Sex_Female,3. Discrete AR(1),-0.06285086594004394,0.018221770386382476,-3.4492184133224373
Q9_Climbing_Stairs,Treatment_Active,3. Discrete AR(1),-0.019558124162368302,0.02453232087082635,-0.7972390490630944
Q9_Climbing_Stairs,Age_Base,3. Discrete AR(1),-0.002176726999990782,0.011308086216320918,-0.19249296108559202
Q9_Climbing_Stairs,Age_Base,4. IRT + Latent OU,0.277566,0.29405229591836735,0.9439341363859163
Q9_Climbing_Stairs,Treatment_Active,4. IRT + Latent OU,-2.26855,0.5828367346938775,-3.8922563815259634
Q9_Climbing_Stairs,Sex_Female,4. IRT + Latent OU,0.933486,0.5907331632653061,1.5802160062254014
Q8_Walking,Sex_Female,1. Naive LMM,-0.29104473683104654,0.07025498000628676,-4.142691903193231
Q8_Walking,Treatment_Active,1. Naive LMM,0.051279868316369416,0.07428579704688179,0.6903051505795472
Q8_Walking,Age_Base,1. Naive LMM,0.041886260821128084,0.034029235398473724,1.2308904484820355
Q8_Walking,Sex_Female,2. Ordinal (IRT),-0.5868390785009143,0.060263791359164855,-9.737838680003136
Q8_Walking,Treatment_Active,2. Ordinal (IRT),0.007557765646883372,0.062064973754952645,0.12177183344543474
Q8_Walking,Age_Base,2. Ordinal (IRT),0.07778557647955481,0.02781473526779348,2.7965600150659093
Q8_Walking,Sex_Female,3. Discrete AR(1),-0.02968639367965981,0.017370726749797127,-1.7089897335473612
Q8_Walking,Treatment_Active,3. Discrete AR(1),-0.011680327599997459,0.018610570452741053,-0.6276179244294537
Q8_Walking,Age_Base,3. Discrete AR(1),-0.0021106209109521884,0.008484451574335066,-0.24876338705694123
Q8_Walking,Age_Base,4. IRT + Latent OU,0.679061,0.3530723979591837,1.9232910981574425
Q8_Walking,Treatment_Active,4. IRT + Latent OU,-2.13363,0.6863647959183674,-3.1085947482856664
Q8_Walking,Sex_Female,4. IRT + Latent OU,1.2043,0.699866581632653,1.7207565436123575
Q7_Turning_in_Bed,Sex_Female,1. Naive LMM,-0.19770768544187975,0.0734773913022478,-2.6907281537611083
Q7_Turning_in_Bed,Treatment_Active,1. Naive LMM,0.029317865880406396,0.0775431788499617,0.3780843952391162
Q7_Turning_in_Bed,Age_Base,1. Naive LMM,0.06228703420864938,0.035543492026704905,1.7524174091237643
Q7_Turning_in_Bed,Sex_Female,2. Ordinal (IRT),-0.3515514133363495,0.058725392816197666,-5.986361205563267
Q7_Turning_in_Bed,Treatment_Active,2. Ordinal (IRT),-0.008825133912236547,0.06100338162091785,-0.14466630664963726
Q7_Turning_in_Bed,Age_Base,2. Ordinal (IRT),0.13555848670892345,0.027488728458438163,4.931420779025205
Q7_Turning_in_Bed,Sex_Female,3. Discrete AR(1),-0.029285448382842333,0.022885395008632965,-1.2796566706318637
Q7_Turning_in_Bed,Treatment_Active,3. Discrete AR(1),0.01326289620194101,0.024019815913401826,0.5521647730256332
Q7_Turning_in_Bed,Age_Base,3. Discrete AR(1),0.007456038994960503,0.010889787576855395,0.6846817665026994
Q7_Turning_in_Bed,Sex_Female,4. IRT + Latent OU,0.74995,0.4837969387755102,1.550133826597008
Q7_Turning_in_Bed,Treatment_Active,4. IRT + Latent OU,-0.448746,0.46776403061224486,-0.9593426827040278
Q7_Turning_in_Bed,Age_Base,4. IRT + Latent OU,0.507187,0.23785326530612247,2.132352479362598
Q6_Dressing_and_Hygiene,Sex_Female,1. Naive LMM,-0.051641973227309276,0.07259496592113941,-0.7113712717133641
Q6_Dressing_and_Hygiene,Treatment_Active,1. Naive LMM,-0.01154895686998918,0.07661921548136928,-0.1507318601140914
Q6_Dressing_and_Hygiene,Age_Base,1. Naive LMM,0.10759736233867848,0.03512012702101063,3.063695136247893
Q6_Dressing_and_Hygiene,Sex_Female,2. Ordinal (IRT),-0.12443432144478983,0.058547385359009795,-2.125360862517847
Q6_Dressing_and_Hygiene,Treatment_Active,2. Ordinal (IRT),-0.09457582372918677,0.06094073534232814,-1.5519311212429103
Q6_Dressing_and_Hygiene,Age_Base,2. Ordinal (IRT),0.19225591834532868,0.027473872738790338,6.997772762988842
Q6_Dressing_and_Hygiene,Sex_Female,3. Discrete AR(1),-0.03126970682046873,0.020511632389891385,-1.5244865072698541
Q6_Dressing_and_Hygiene,Treatment_Active,3. Discrete AR(1),0.007358623205783738,0.02155018601851263,0.3414644866388778
Q6_Dressing_and_Hygiene,Age_Base,3. Discrete AR(1),0.014567548500964258,0.009580133367498286,1.5205997601647547
